id,host_id,latitude,longitude,first_review,last_review,calculated_host_listings_count,availability_365
16713279,106690357,39.896259123532332,3.0738228770097433,0,0,36,79
11969224,36049967,39.880391720319011,3.0142670704203867,1462658400,1472680800,2,130
3056316,3296019,39.882172220247213,3.0415105579000565,1440194400,1440194400,87,270
16753307,40808646,39.856645351515759,3.0438867007304244,0,0,4,234
15016598,24853358,39.889078557642385,3.0515785182160173,1476396000,1476396000,41,52
2218646,5108200,39.894710648843798,3.0740062857746802,1404424800,1472594400,29,284
6856542,35094465,39.896233250217506,3.0370861372365998,1443304800,1478127600,1,118
13097613,56679124,39.913450644760601,3.096494237227037,0,0,6,344
4333381,8234263,39.910277195816718,3.085821302220221,0,0,15,201
14080643,84638941,39.877108863408814,3.0157509189957707,1470607200,1488236400,2,0
13049627,72229989,39.897344545678159,3.0765325657127387,1469743200,1476655200,1,286
7675640,27606885,39.890441435483716,3.0236466071736467,1442268000,1477954800,3,243
10759616,10188062,39.88300654285581,3.0125894051304356,0,0,128,86
990877,5442094,39.874093499137928,3.0139527895278038,1376085600,1476568800,1,329
4146455,21431038,39.904253995022273,3.0786184348239281,1414188000,1488668400,13,215
15800915,31320933,39.902712370278564,3.0749418726604736,0,0,2,338
8892325,3533438,39.86782355883453,3.0749198057380891,1461276000,1476309600,56,154
16129475,71611818,39.898246603525074,3.0786598018059088,1483311600,1483311600,30,279
15962702,71611818,39.896762793711609,3.0200459240374418,0,0,30,226
16063920,100756477,39.894059923484384,3.0163885877429997,0,0,9,103
16063879,100756477,39.886706578159512,3.0083181845415936,0,0,9,143
2852465,2250502,39.878683273516472,3.0132535915926426,1408917600,1474322400,31,316
2933991,14981569,39.905058863504244,3.0796498348485088,1421708400,1468101600,2,271
1023338,5560590,39.858986277295692,3.0266503871083219,1407621600,1407621600,10,365
16850263,92932776,39.875500985327591,3.0167866486991857,0,0,15,192
16106421,3533438,39.917506456587034,3.0519069453759733,0,0,56,183
16948548,10188062,39.885006505898907,3.0208709422766411,0,0,128,321
2366777,8234263,39.890371352125314,3.0766012717939817,1475013600,1475013600,15,267
15474686,65697804,39.917507107489683,3.0554900249181114,0,0,84,115
17244161,116191570,39.911218379427154,3.0896058139648388,0,0,1,316
9805787,24926928,39.875528658369909,3.0523706832193147,0,0,35,252
17275549,4717075,39.86847599468625,3.0422396379811527,0,0,20,100
3284889,5460753,39.883412266494354,3.0459573298540668,0,0,112,27
10460447,9439251,39.896370181732379,3.0235990496981358,1464213600,1475100000,2,216
13344041,75599185,39.872214073876869,3.0391964626948846,0,0,1,248
14752839,24853358,39.882375382891119,3.0609790752840862,1476482400,1477692000,41,101
14162962,85665498,39.851651848371283,3.0126701817787724,1470693600,1471212000,1,320
9903082,42985714,39.891199262731845,3.0744522526255955,1463263200,1478473200,1,222
15277051,97212500,39.898325544359039,3.0749341706178552,0,0,1,274
2005987,10188062,39.884782764194561,3.0666503129403595,1464300000,1464300000,128,143
